Time;Name;position.x;position.y;position.z;orientation.x;orientation.y;orientation.z;orientation.w;linear.x;linear.y;linear.z;angular.x;angular.y;angular.z
212.767;robot1;-28.251144409377915;38.97341919004781;0.0999574675031921;-4.946285182228026e-10;3.2272923323762975e-10;-0.5694660456701902;0.8220148556010148;9.028625134978989e-13;2.030004970594016e-11;7.829617250787467e-05;4.5954676183931576e-11;-2.685548820739389e-11;-2.467267056370289e-11
212.773;robot1;-27.650058862757483;39.19767103968938;0.1067108238173547;-5.353523771455215e-05;-0.0001363810282735;-0.5646767135908057;0.8253121758840595;-0.0004486373378068;0.0003430258264806;-0.1469783151941891;-0.0034300860303706;-0.0044867146003167;5.362602655482918e-07
212.867;robot1;-28.25114440937792;38.97341919004783;0.0999574675031921;-4.946286049277535e-10;3.2272934020152326e-10;-0.56946604567019;0.8220148556010147;8.437682580831487e-13;2.0312710367772894e-11;7.829617247260873e-05;4.591567774365741e-11;-2.630955512518646e-11;-2.3958929635577545e-11
212.873;robot1;-27.65005931139482;39.19767138271521;0.1065540455021602;-5.36839119337839e-05;-0.0001392009432337;-0.5646767132548601;0.8253121756334529;-0.0004486373381113;0.0003430258266836;-0.1567783151945344;-0.0034300860298686;-0.0044867145965769;5.32873498102723e-07
212.967;robot1;-28.25114440937793;38.97341919004785;0.0999574675031921;-4.94628521268431e-10;3.2272923449675307e-10;-0.5694660456701902;0.8220148556010148;9.030480415994979e-13;2.030027159338924e-11;7.829617250768576e-05;4.595344913924644e-11;-2.6853250250001383e-11;-2.4672525535607277e-11
212.973;robot1;-27.65005976003216;39.19767172574103;0.1063874671869654;-5.383258615340201e-05;-0.0001420208581913;-0.5646767129158102;0.8253121753753085;-0.0004486373385173;0.0003430258270896;-0.16657831519481;-0.003430086029338;-0.0044867145937523;5.294846205197969e-07
213.067;robot1;-28.251144409377936;38.97341919004787;0.0999574675031921;-4.946286081328565e-10;3.227293395317057e-10;-0.56946604567019;0.8220148556010147;8.43460467625304e-13;2.0312972014742997e-11;7.829617247263491e-05;4.5913249975147477e-11;-2.631253477244445e-11;-2.3958895981228984e-11
213.073;robot1;-27.650060208669498;39.197672068766856;0.1062110888717703;-5.3981260373193726e-05;-0.0001448407731468;-0.5646767125736558;0.8253121751096264;-0.0004486373389234;0.0003430258272926;-0.1763783151950293;-0.0034300860287908;-0.0044867145916693;5.260964219459716e-07
213.167;robot1;-28.251144409377943;38.97341919004789;0.0999574675031921;-4.946285237407323e-10;3.2272923425743876e-10;-0.5694660456701902;0.8220148556010148;9.030363429322988e-13;2.030010953719295e-11;7.829617250820267e-05;4.595513136462952e-11;-2.6853387249501903e-11;-2.4672874686427477e-11
213.173;robot1;-27.65006065730684;39.19767241179268;0.1060249105565751;-5.412993459299116e-05;-0.0001476606881002;-0.564676712228397;0.8253121748364067;-0.0004486373389234;0.0003430258272926;-0.1861783151952057;-0.0034300860282318;-0.0044867145901767;5.227078673498278e-07
213.267;robot1;-28.25114440937795;38.97341919004791;0.0999574675031921;-4.946286090291245e-10;3.2272933944970216e-10;-0.56946604567019;0.8220148556010147;8.432492239665636e-13;2.0312828913595108e-11;7.829617247319168e-05;4.5915990787561854e-11;-2.631410296696583e-11;-2.3959414415506103e-11
213.273;robot1;-27.65006110594418;39.197672754818505;0.1058289322413798;-5.427860881265818e-05;-0.0001504806030517;-0.564676711880034;0.8253121745556489;-0.0004486373389234;0.0003430258272926;-0.1959783151953461;-0.0034300860276558;-0.0044867145891542;5.193185324942027e-07
213.367;robot1;-28.25114440937796;38.973419190047935;0.0999574675031921;-4.94628523187228e-10;3.227292329236714e-10;-0.5694660456701902;0.8220148556010148;9.026701626117917e-13;2.0300008365097197e-11;7.82961725081488e-05;4.5956092431826125e-11;-2.6857115137937957e-11;-2.46726114804439e-11
213.373;robot1;-27.65006155458152;39.19767309784433;0.1056231539261843;-5.442728303208811e-05;-0.0001533005180016;-0.564676711528566;0.8253121742673536;-0.0004486373388219;0.0003430258276987;-0.2057783151954595;-0.0034300860270747;-0.0044867145885144;5.159312215146497e-07
213.467;robot1;-28.251144409377964;38.97341919004796;0.0999574675031921;-4.946286072339865e-10;3.2272933631004566e-10;-0.56946604567019;0.8220148556010147;8.427989322929475e-13;2.031283272171122e-11;7.829617247282565e-05;4.5915980727022166e-11;-2.6318478111428385e-11;-2.395927428157164e-11
213.473;robot1;-27.650062003218856;39.19767344087016;0.1054075756109888;-5.457595725119349e-05;-0.0001561204329498;-0.5646767111739935;0.8253121739715206;-0.0004486373392279;0.0003430258279017;-0.2155783151955503;-0.0034300860264771;-0.0044867145881731;5.125429350661367e-07
213.567;robot1;-28.25114440937797;38.97341919004798;0.0999574675031921;-4.946285206010742e-10;3.2272922873808765e-10;-0.5694660456701902;0.8220148556010148;9.02440944819864e-13;2.029990594192144e-11;7.829617250803787e-05;4.595621716596974e-11;-2.6859712709757607e-11;-2.4672448522085133e-11
213.573;robot1;-27.6500624518562;39.19767378389598;0.1051821972957932;-5.472463146990614e-05;-0.0001589403478964;-0.5646767108163168;0.8253121736681499;-0.0004486373391264;0.0003430258279017;-0.2253783151956229;-0.0034300860258713;-0.0044867145880742;5.091542921212398e-07
213.673;robot1;-27.650062900493538;39.19767412692181;0.1049470189805975;-5.487330568816864e-05;-0.0001617602628416;-0.5646767104555356;0.8253121733572412;-0.0004486373389234;0.0003430258281047;-0.2351783151956812;-0.0034300860252565;-0.0044867145881783;5.057652361957173e-07
