Time;Name;position.x;position.y;position.z;orientation.x;orientation.y;orientation.z;orientation.w;linear.x;linear.y;linear.z;angular.x;angular.y;angular.z
297.928;robot1;-27.650066206653907;39.1977503047853;0.099957467367146;4.5891505202079466e-11;1.9697548449835512e-09;-0.5647119585630177;0.8252880732543761;-2.563677557481888e-11;1.1638736311039808e-10;7.829617651905263e-05;-3.1500652956051606e-11;-1.632642883708245e-10;3.460506100072418e-11
297.948;robot1;-27.65006620665394;39.197750304785416;0.0999574673671502;4.5896080189591725e-11;1.969678168060824e-09;-0.5647119585629926;0.8252880732543936;-2.5776206321921735e-11;1.16890709586829e-10;7.829617649179687e-05;-3.111394905587397e-11;-1.630684858939796e-10;3.6820444492601015e-11
297.968;robot1;-27.65006620665397;39.19775030478554;0.0999574673671542;4.5900770183151775e-11;1.969601866197365e-09;-0.5647119585629675;0.8252880732544104;-2.597532373617304e-11;1.1751675152217735e-10;7.829617643996118e-05;-3.0501110958351637e-11;-1.6257944173070967e-10;3.629833482998513e-11
297.988;robot1;-27.650066206654007;39.19775030478565;0.0999574673671583;4.5905670938661774e-11;1.9695252703101482e-09;-0.5647119585629432;0.8252880732544273;-2.570424415152079e-11;1.1714573943727808e-10;7.829617652279857e-05;-3.048544628960041e-11;-1.6330267462663972e-10;3.4824215767072667e-11
298.008;robot1;-27.65006620665404;39.19775030478577;0.0999574673671624;4.591041511356738e-11;1.9694486472617564e-09;-0.564711958562918;0.8252880732544445;-2.5720185694945064e-11;1.1748270431792516e-10;7.82961764759477e-05;-3.077525600390546e-11;-1.631706294621094e-10;3.6771488000135605e-11
298.028;robot1;-27.650066206654078;39.197750304785885;0.0999574673671665;4.591487783273764e-11;1.9693718700690887e-09;-0.5647119585628929;0.8252880732544616;-2.5905316281149955e-11;1.1679115189342136e-10;7.829617648114049e-05;-3.14134890603923e-11;-1.63107291124936e-10;3.645193627844759e-11
298.048;robot1;-27.650066206654103;39.197750304786005;0.0999574673671706;4.5919659717053455e-11;1.969295089272732e-09;-0.5647119585628684;0.8252880732544784;-2.5367584863383132e-11;1.174154788541007e-10;7.829617648175115e-05;-3.089100241518913e-11;-1.6347320950133128e-10;3.520171781925163e-11
298.068;robot1;-27.650066206654135;39.19775030478612;0.0999574673671748;4.5924452538719035e-11;1.969218191494955e-09;-0.5647119585628434;0.8252880732544955;-2.572586192427483e-11;1.1693070084557966e-10;7.829617656440697e-05;-3.1004672277941034e-11;-1.6367880784007823e-10;3.625060830798094e-11
298.088;robot1;-27.650066206654174;39.19775030478623;0.099957467367179;4.592906630502657e-11;1.969141414574008e-09;-0.564711958562819;0.8252880732545123;-2.585775165328153e-11;1.1711183184695426e-10;7.829617654173377e-05;-3.1163600667286907e-11;-1.6327730355490274e-10;3.4941273584403105e-11
298.108;robot1;-27.65006620665421;39.197750304786354;0.099957467367183;4.593367304588536e-11;1.96906505397477e-09;-0.5647119585627944;0.825288073254529;-2.5439532000778858e-11;1.1776239711106505e-10;7.829617646682252e-05;-3.0705193677823667e-11;-1.6258165108990388e-10;3.513519848982984e-11
298.128;robot1;-27.65006620665424;39.19775030478647;0.0999574673671872;4.5938057979693086e-11;1.9689885535722963e-09;-0.5647119585627701;0.8252880732545457;-2.578617477337055e-11;1.170777394724619e-10;7.829617650463886e-05;-3.122849861883846e-11;-1.6256201480718796e-10;3.470610796468124e-11
298.148;robot1;-27.650066206654277;39.19775030478659;0.0999574673671913;4.5942884690231313e-11;1.968912244897308e-09;-0.5647119585627453;0.8252880732545627;-2.5977743301877102e-11;1.1789816918034807e-10;7.829617653001308e-05;-3.028335499697649e-11;-1.6274495554952014e-10;3.588168810139696e-11
298.168;robot1;-27.650066206654305;39.1977503047867;0.0999574673671954;4.5947228690376917e-11;1.9688356980140852e-09;-0.564711958562721;0.8252880732545792;-2.5476020906564776e-11;1.1677268439181418e-10;7.829617644867362e-05;-3.1348086513399826e-11;-1.6259252743761992e-10;3.4384899292309007e-11
298.188;robot1;-27.650066206654337;39.19775030478682;0.0999574673671995;4.5951790523099086e-11;1.968759366579397e-09;-0.5647119585626971;0.8252880732545956;-2.5814021312454087e-11;1.1739644629678559e-10;7.829617648107521e-05;-3.074530401532859e-11;-1.6248310083327755e-10;3.395078786745608e-11
298.208;robot1;-27.650066206654373;39.197750304786936;0.0999574673672036;4.595644585128535e-11;1.9686829001957767e-09;-0.5647119585626725;0.8252880732546124;-2.602049736408308e-11;1.1688998876376103e-10;7.829617650746337e-05;-3.074309381854136e-11;-1.6281190652247652e-10;3.5122154397152786e-11
298.228;robot1;-27.650066206654405;39.19775030478705;0.0999574673672077;4.596117145303654e-11;1.9686061288368317e-09;-0.5647119585626478;0.8252880732546293;-2.539099162969849e-11;1.1694711037312416e-10;7.829617649660301e-05;-3.0971822017066444e-11;-1.6339426777968186e-10;3.5635138824067044e-11
298.248;robot1;-27.65006620665444;39.19775030478717;0.0999574673672118;4.596598770253254e-11;1.9685297634585366e-09;-0.5647119585626232;0.825288073254646;-2.5584337175875836e-11;1.1757394137029852e-10;7.829617645512007e-05;-3.0364403289715817e-11;-1.62826370326113e-10;3.509710908791735e-11
298.268;robot1;-27.650066206654472;39.19775030478728;0.0999574673672159;4.59705726068955e-11;1.9684532532107648e-09;-0.5647119585625989;0.8252880732546627;-2.5934274521455963e-11;1.1689045057580462e-10;7.82961764980692e-05;-3.0909691140232617e-11;-1.6280456374486236e-10;3.4652028192565565e-11
