Time,Robot,PosX,PosY,Speed
197.006,robot1,7.52605932766341,-41.490057566374354,1.985799177677926e-09
197.056,robot1,7.526059327692794,-41.49005756646909,1.980624594929417e-09
197.106,robot1,7.5260593277221295,-41.490057566563685,1.9749158928971655e-09
197.156,robot1,7.526059327751414,-41.490057566658145,1.973779346705263e-09
197.206,robot1,7.526059327780648,-41.490057566752384,1.971200054179117e-09
197.256,robot1,7.526059327809836,-41.49005756684651,1.965098548822704e-09
197.306,robot1,7.526059327838968,-41.4900575669404,1.9650388022447532e-09
197.355,robot1,7.526059327868054,-41.49005756703424,1.9602085540789837e-09
197.406,robot1,7.526059327897088,-41.49005756712783,1.9576756957834184e-09
197.456,robot1,7.52605932792607,-41.490057567221264,1.9522181586012456e-09
197.506,robot1,7.52605932795501,-41.49005756731453,1.950686136538792e-09
197.556,robot1,7.526059327983902,-41.49005756740767,1.946817115608257e-09
197.606,robot1,7.526059328012739,-41.49005756750062,1.9428735443788526e-09
197.656,robot1,7.526059328041533,-41.49005756759344,1.9412023911868606e-09
197.706,robot1,7.526059328070268,-41.490057567686065,1.9365414451028253e-09
197.755,robot1,7.526059328098963,-41.490057567778585,1.934874930363816e-09
197.806,robot1,7.526059328127603,-41.4900575678709,1.9285194107864584e-09
197.856,robot1,7.526059328156194,-41.49005756796306,1.9258574367374677e-09
197.906,robot1,7.526059328184738,-41.49005756805508,1.924175400852654e-09
197.956,robot1,7.526059328213237,-41.4900575681469,1.9207375018768937e-09
198.006,robot1,7.526059328241686,-41.49005756823859,1.9160289342770656e-09
198.056,robot1,7.526059328270083,-41.49005756833007,1.9139494327199015e-09
198.106,robot1,7.526059328298433,-41.490057568421435,1.9113708477045383e-09
198.156,robot1,7.526059328326736,-41.490057568512654,1.9057227237815195e-09
198.206,robot1,7.526059328354994,-41.490057568603675,1.9053469789521773e-09
198.256,robot1,7.526059328383196,-41.490057568694574,1.898277000293636e-09
198.306,robot1,7.526059328411354,-41.490057568785296,1.8977282989528205e-09
198.356,robot1,7.526059328439463,-41.4900575688759,1.8927147057084255e-09
198.406,robot1,7.526059328467529,-41.490057568966314,1.8907488576517097e-09
198.456,robot1,7.526059328495542,-41.49005756905659,1.8836941976607273e-09
198.506,robot1,7.52605932852351,-41.49005756914671,1.882867729534089e-09
198.556,robot1,7.5260593285514235,-41.49005756923661,1.8809587552342584e-09
198.606,robot1,7.526059328579302,-41.49005756932645,1.876170829742059e-09
198.656,robot1,7.526059328607123,-41.49005756941604,1.87600902718689e-09
198.706,robot1,7.526059328634901,-41.49005756950554,1.869385890398772e-09
198.756,robot1,7.526059328662628,-41.49005756959485,1.86891818684512e-09
198.806,robot1,7.526059328690314,-41.49005756968403,1.8612650638284556e-09
198.856,robot1,7.526059328717948,-41.490057569773036,1.8601511730560058e-09
198.906,robot1,7.5260593287455375,-41.49005756986188,1.8566611176943586e-09
198.956,robot1,7.526059328773078,-41.49005756995058,1.854025094307187e-09
199.006,robot1,7.526059328800575,-41.490057570039134,1.8527936626530705e-09
199.056,robot1,7.526059328828019,-41.49005757012753,1.8460839436868642e-09
199.106,robot1,7.526059328855422,-41.49005757021578,1.846163333293257e-09
199.156,robot1,7.526059328882777,-41.49005757030385,1.8402397905211622e-09
199.206,robot1,7.526059328910089,-41.49005757039184,1.8386258689086736e-09
199.256,robot1,7.526059328937345,-41.49005757047962,1.8329899159726666e-09
199.306,robot1,7.5260593289645605,-41.49005757056726,1.8308282084242644e-09
199.356,robot1,7.5260593289917255,-41.4900575706547,1.8301483988728432e-09
199.406,robot1,7.52605932901885,-41.49005757074208,1.8245300375106592e-09
199.456,robot1,7.526059329045923,-41.49005757082924,1.823477493000561e-09
199.506,robot1,7.5260593290729485,-41.490057570916264,1.8173183745166163e-09
199.556,robot1,7.526059329099932,-41.4900575710031,1.8157633903832644e-09
199.606,robot1,7.526059329126877,-41.49005757108981,1.8157682499552275e-09
199.656,robot1,7.5260593291537665,-41.490057571176415,1.8089151772309331e-09
199.706,robot1,7.526059329180613,-41.49005757126283,1.8088093052326263e-09
199.756,robot1,7.52605932920741,-41.490057571349084,1.8020324012349982e-09
199.806,robot1,7.526059329234168,-41.490057571435216,1.8021140611391083e-09
199.856,robot1,7.526059329260876,-41.49005757152123,1.7946218474304996e-09
199.906,robot1,7.526059329287538,-41.490057571607075,1.7943094910280101e-09
199.956,robot1,7.526059329314155,-41.49005757169273,1.7877605951084435e-09
200.006,robot1,7.526059329340732,-41.49005757177826,1.7876629500173043e-09
200.056,robot1,7.526059329367256,-41.490057571863616,1.785677627763455e-09
200.106,robot1,7.526059329393737,-41.49005757194889,1.7814395908637414e-09
200.156,robot1,7.526059329420175,-41.490057572033926,1.7790468300455488e-09
200.206,robot1,7.526059329446568,-41.49005757211886,1.7735681146421371e-09
200.256,robot1,7.526059329472912,-41.49005757220363,1.772355540426674e-09
200.306,robot1,7.526059329499214,-41.49005757228827,1.7711756800112719e-09
200.356,robot1,7.526059329525471,-41.49005757237278,1.7648546439600184e-09
200.406,robot1,7.526059329551685,-41.490057572457076,1.7642351957734632e-09
200.456,robot1,7.526059329577855,-41.49005757254131,1.7626228302151342e-09
200.506,robot1,7.526059329603977,-41.49005757262536,1.7574740882092038e-09
200.556,robot1,7.5260593296300575,-41.490057572709304,1.7561477763672583e-09
200.606,robot1,7.5260593296560865,-41.49005757279302,1.7506190692771696e-09
200.656,robot1,7.526059329682079,-41.49005757287665,1.7491324597929566e-09
200.706,robot1,7.523976994045555,-41.48567761770856,0.20946419427109608
