;Time;Robot;Move
199;195.106;robot1;a_unknown
200;195.107;robot1;a_unknown
201;195.108;robot1;a_unknown
202;195.109;robot1;a_unknown
203;195.11;robot1;a_unknown
204;195.111;robot1;a_unknown
205;195.112;robot1;a_unknown
206;195.113;robot1;a_unknown
207;195.114;robot1;a_unknown
208;195.115;robot1;a_unknown
209;195.116;robot1;a_unknown
210;195.117;robot1;a_unknown
211;195.118;robot1;a_unknown
212;195.119;robot1;a_unknown
213;195.12;robot1;a_unknown
214;195.121;robot1;a_unknown
215;195.122;robot1;a_unknown
216;195.123;robot1;a_unknown
217;195.124;robot1;a_unknown
218;195.125;robot1;a_unknown
219;195.126;robot1;a_unknown
220;195.127;robot1;a_unknown
221;195.128;robot1;a_unknown
222;195.129;robot1;a_unknown
223;195.13;robot1;a_unknown
224;195.131;robot1;a_unknown
225;195.132;robot1;a_unknown
226;195.133;robot1;a_unknown
227;195.134;robot1;a_unknown
228;195.135;robot1;a_unknown
229;195.136;robot1;a_unknown
230;195.137;robot1;a_unknown
231;195.138;robot1;a_unknown
232;195.139;robot1;a_unknown
233;195.14;robot1;a_unknown
234;195.141;robot1;a_unknown
235;195.142;robot1;a_unknown
236;195.143;robot1;a_unknown
237;195.144;robot1;a_unknown
238;195.145;robot1;a_unknown
239;195.146;robot1;a_unknown
240;195.147;robot1;a_unknown
241;195.148;robot1;a_unknown
242;195.149;robot1;a_unknown
243;195.15;robot1;a_unknown
244;195.151;robot1;a_unknown
245;195.152;robot1;a_unknown
246;195.153;robot1;a_unknown
247;195.155;robot1;a_unknown
248;195.156;robot1;a_unknown
249;195.157;robot1;a_unknown
250;195.158;robot1;a_unknown
251;195.159;robot1;a_unknown
252;195.16;robot1;a_unknown
253;195.161;robot1;a_unknown
254;195.162;robot1;a_unknown
255;195.163;robot1;a_unknown
256;195.164;robot1;a_unknown
257;195.165;robot1;a_unknown
258;195.166;robot1;a_unknown
259;195.167;robot1;a_unknown
260;195.168;robot1;a_unknown
261;195.169;robot1;a_unknown
262;195.17;robot1;a_unknown
263;195.171;robot1;a_unknown
264;195.173;robot1;a_unknown
265;195.174;robot1;a_unknown
266;195.175;robot1;a_unknown
267;195.176;robot1;a_unknown
268;195.177;robot1;a_unknown
269;195.178;robot1;a_unknown
270;195.179;robot1;a_unknown
271;195.18;robot1;a_unknown
272;195.181;robot1;a_unknown
273;195.182;robot1;a_unknown
274;195.183;robot1;a_unknown
