Time;Name;position.x;position.y;position.z;orientation.x;orientation.y;orientation.z;orientation.w;linear.x;linear.y;linear.z;angular.x;angular.y;angular.z
315.723;robot1;-27.650066200921835;39.19775028326672;0.099957466686426;-6.65119505499315e-10;1.8902967274027235e-08;-0.564711964639893;0.8252880690962109;-2.1091180728457827e-10;8.35011914730618e-10;7.829619544226704e-05;-6.975074777359938e-10;-1.20132162651876e-09;5.949933837107645e-10
315.745;robot1;-27.65006620092205;39.197750283267546;0.0999574666864491;-6.650968906165008e-10;1.8902274098807542e-08;-0.5647119646396368;0.8252880690963862;-2.1070348587820188e-10;8.346436064504086e-10;7.829619542821171e-05;-6.975989143378388e-10;-1.2015032625504924e-09;5.967032146653782e-10
315.763;robot1;-27.65006620092227;39.197750283268384;0.0999574666864723;-6.650738529681718e-10;1.890158121139277e-08;-0.5647119646393809;0.8252880690965613;-2.105120496245796e-10;8.357108054897804e-10;7.829619542663795e-05;-6.965771904488864e-10;-1.2015052053496492e-09;5.958543726653793e-10
315.783;robot1;-27.65006620092249;39.19775028326922;0.0999574666864954;-6.650510649931165e-10;1.890088854082181e-08;-0.5647119646391252;0.8252880690967362;-2.1106557609743304e-10;8.357216964893018e-10;7.829619542585724e-05;-6.967452108283671e-10;-1.200865591913486e-09;5.953741257453953e-10
315.803;robot1;-27.650066200922712;39.19775028327006;0.0999574666865185;-6.650283056360637e-10;1.8900195738193816e-08;-0.5647119646388699;0.825288069096911;-2.1088953088038692e-10;8.354903177975014e-10;7.829619542025028e-05;-6.969419322841644e-10;-1.2010512415575863e-09;5.945459374905003e-10
315.823;robot1;-27.65006620092293;39.1977502832709;0.0999574666865416;-6.65005611008351e-10;1.8899502595315462e-08;-0.5647119646386137;0.8252880690970863;-2.1065563809907768e-10;8.35143982570396e-10;7.829619544147863e-05;-6.974330473365596e-10;-1.2015396178814334e-09;5.964413934702622e-10
315.843;robot1;-27.65006620092315;39.19775028327174;0.0999574666865648;-6.649829503263648e-10;1.889880937340934e-08;-0.5647119646383579;0.8252880690972613;-2.104732997401478e-10;8.34905500508627e-10;7.829619543736937e-05;-6.975778831718965e-10;-1.201631467798602e-09;5.956010466210677e-10
315.863;robot1;-27.65006620092337;39.19775028327257;0.0999574666865879;-6.649605957379847e-10;1.8898116450724097e-08;-0.5647119646381026;0.8252880690974359;-2.111136697360288e-10;8.346494901275333e-10;7.82961954384033e-05;-6.977442261191905e-10;-1.2007923398280434e-09;5.944208850163978e-10
315.883;robot1;-27.65006620092359;39.19775028327341;0.0999574666866111;-6.649377150967891e-10;1.889742351306461e-08;-0.5647119646378469;0.8252880690976109;-2.108358993835197e-10;8.356012226030298e-10;7.829619545574253e-05;-6.968934576888399e-10;-1.201411263498107e-09;5.954060025040214e-10
315.903;robot1;-27.65006620092381;39.197750283274246;0.0999574666866342;-6.649153369449416e-10;1.8896730575813683e-08;-0.5647119646375921;0.8252880690977853;-2.107669524033145e-10;8.349119458467866e-10;7.829619542877914e-05;-6.97721812406444e-10;-1.2008428965519682e-09;5.932833088016339e-10
315.923;robot1;-27.65006620092403;39.19775028327508;0.0999574666866573;-6.648929692213811e-10;1.8896037634519936e-08;-0.5647119646373379;0.8252880690979593;-2.1067488419959988e-10;8.343982357580843e-10;7.829619542647501e-05;-6.977425379273817e-10;-1.200837465470383e-09;5.917798987112511e-10
315.943;robot1;-27.650066200924247;39.19775028327592;0.0999574666866804;-6.648700197993042e-10;1.8895345005959885e-08;-0.5647119646370826;0.8252880690981339;-2.1055045457118807e-10;8.352963222105934e-10;7.829619544029411e-05;-6.964296250278786e-10;-1.200977879866115e-09;5.942793036404955e-10
315.963;robot1;-27.650066200924467;39.19775028327675;0.0999574666867035;-6.648476178954517e-10;1.889465258044604e-08;-0.5647119646368283;0.825288069098308;-2.1115254771055835e-10;8.34596686819258e-10;7.829619540693319e-05;-6.971035361361148e-10;-1.2000247455539594e-09;5.921370020107382e-10
315.983;robot1;-27.650066200924687;39.19775028327759;0.0999574666867266;-6.648248094670335e-10;1.889396033762888e-08;-0.5647119646365731;0.8252880690984823;-2.109363175663626e-10;8.355606342538403e-10;7.829619538271565e-05;-6.962272886592853e-10;-1.2001823719616143e-09;5.938591686522114e-10
316.003;robot1;-27.650066200924908;39.19775028327842;0.0999574666867497;-6.648020403323954e-10;1.889326784736423e-08;-0.5647119646363187;0.8252880690986565;-2.1082600517653818e-10;8.350640600405118e-10;7.829619541814511e-05;-6.965720568054018e-10;-1.2005464406293635e-09;5.925217798112086e-10
316.023;robot1;-27.650066200925128;39.197750283279255;0.0999574666867728;-6.647795137268842e-10;1.889257550180738e-08;-0.5647119646360645;0.8252880690988305;-2.107972049263625e-10;8.345850035655147e-10;7.829619537788845e-05;-6.968085830184654e-10;-1.200033527727497e-09;5.917153287600177e-10
316.043;robot1;-27.650066200925348;39.197750283280094;0.0999574666867959;-6.647564312269902e-10;1.8891883191283e-08;-0.5647119646358093;0.8252880690990051;-2.1065650368627487e-10;8.355014858611815e-10;7.829619543524528e-05;-6.958525765973977e-10;-1.2006035104506243e-09;5.944113755925873e-10
316.063;robot1;-27.650066200925565;39.19775028328093;0.099957466686819;-6.647338537428061e-10;1.8891190935879373e-08;-0.5647119646355547;0.8252880690991793;-2.105252365796747e-10;8.350975485313957e-10;7.829619536038238e-05;-6.966239442807263e-10;-1.199941888482446e-09;5.92786181173545e-10
