;Time;linear.x;linear.y;linear.z;angular.x;angular.y;angular.z
0;303.459;0.5;0.0;0.0;0.0;0.0;0.0
1;323.088;0.0;0.0;0.0;0.0;0.0;0.0
2;327.199;0.5;0.0;0.0;0.0;0.0;0.0
3;327.837;0.5;0.0;0.0;0.0;0.0;-1.0
4;328.833;0.5;0.0;0.0;0.0;0.0;0.0
5;331.648;0.5;0.0;0.0;0.0;0.0;1.0
6;332.13;0.5;0.0;0.0;0.0;0.0;0.0
7;352.615;0.55;0.0;0.0;0.0;0.0;0.0
8;352.973;0.6050000000000001;0.0;0.0;0.0;0.0;0.0
9;356.017;0.6655000000000002;0.0;0.0;0.0;0.0;0.0
10;361.711;0.5989500000000002;0.0;0.0;0.0;0.0;0.0
11;362.185;0.5390550000000002;0.0;0.0;0.0;0.0;0.0
12;362.84;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
13;366.884;0.0;0.0;0.0;0.0;0.0;-0.9702990000000004
14;367.12;0.0;0.0;0.0;0.0;0.0;0.0
15;376.171;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
16;378.057;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
17;378.584;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
18;380.468;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
19;380.712;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
20;416.904;0.0;0.0;0.0;0.0;0.0;0.0
21;421.359;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
22;427.408;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
23;427.624;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
24;428.586;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
25;429.062;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
26;429.308;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
27;429.727;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
28;430.105;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
29;446.788;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
30;447.343;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
31;448.906;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
32;449.177;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
33;465.468;0.0;0.0;0.0;0.0;0.0;0.0
34;476.296;0.0;0.0;0.0;0.0;0.0;0.0
35;477.905;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
36;480.225;0.4851495000000002;0.0;0.0;0.0;0.0;-0.9702990000000004
37;481.101;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
38;483.126;0.4851495000000002;0.0;0.0;0.0;0.0;0.9702990000000004
39;483.665;0.4851495000000002;0.0;0.0;0.0;0.0;0.0
40;507.574;0.5336644500000003;0.0;0.0;0.0;0.0;0.0
41;507.781;0.5870308950000004;0.0;0.0;0.0;0.0;0.0
42;507.992;0.6457339845000005;0.0;0.0;0.0;0.0;0.0
43;508.96;0.7103073829500006;0.0;0.0;0.0;0.0;0.0
44;509.16;0.7813381212450008;0.0;0.0;0.0;0.0;0.0
45;509.379;0.8594719333695009;0.0;0.0;0.0;0.0;0.0
46;509.627;0.945419126706451;0.0;0.0;0.0;0.0;0.0
47;511.996;0.0;0.0;0.0;0.0;0.0;0.0
48;516.863;0.0;0.0;0.0;0.0;0.0;0.0
