Time,Robot,PosX,PosY,Speed
207.732,robot1,-42.09500000014839,21.270000000302442,1.3483296547761176e-11
207.782,robot1,-42.095000000148744,21.270000000303153,1.348312821879488e-11
207.832,robot1,-42.0950000001491,21.270000000303863,1.3483325200950427e-11
207.882,robot1,-42.095000000149454,21.270000000304574,1.348302427158822e-11
207.932,robot1,-42.09500000014981,21.270000000305284,1.3483497973452869e-11
207.982,robot1,-42.095000000150165,21.270000000305995,1.348355803650291e-11
208.032,robot1,-42.09500000015052,21.270000000306705,1.3483318368042707e-11
208.082,robot1,-42.095000000150876,21.270000000307416,1.348309942031677e-11
208.132,robot1,-42.09500000015123,21.270000000308126,1.3483470991795501e-11
208.182,robot1,-42.095000000151586,21.270000000308837,1.3483242013113883e-11
208.232,robot1,-42.09500000015194,21.270000000309548,1.3483528724099747e-11
208.282,robot1,-42.0950000001523,21.270000000310258,1.3483786317015603e-11
208.332,robot1,-42.09500000015265,21.27000000031097,1.3483480334326106e-11
208.382,robot1,-42.09500000015301,21.27000000031168,1.3483358956488361e-11
208.432,robot1,-42.09500000015336,21.27000000031239,1.3483481579604178e-11
208.482,robot1,-42.09500000015372,21.2700000003131,1.3483673760121986e-11
208.532,robot1,-42.09500000015407,21.27000000031381,1.3483127189252545e-11
208.582,robot1,-42.09500000015443,21.27000000031452,1.3483476072852275e-11
208.632,robot1,-42.09500000015478,21.270000000315232,1.3483097668838053e-11
208.682,robot1,-42.09500000015514,21.270000000315942,1.3483407581727198e-11
208.732,robot1,-42.095000000155494,21.270000000316653,1.3483544799468707e-11
208.782,robot1,-42.09500000015585,21.270000000317363,1.3483387788786107e-11
208.832,robot1,-42.095000000156205,21.270000000318074,1.348299552866854e-11
208.882,robot1,-42.09500000015656,21.270000000318785,1.3483396787710128e-11
208.932,robot1,-42.095000000156915,21.270000000319495,1.3483135692234423e-11
208.982,robot1,-42.09500000015727,21.270000000320206,1.3483506100258124e-11
209.032,robot1,-42.095000000157626,21.270000000320916,1.3483561983117539e-11
209.082,robot1,-42.09500000015798,21.270000000321627,1.3483504981583131e-11
209.132,robot1,-42.095000000158336,21.270000000322337,1.3483330738738938e-11
209.182,robot1,-42.09500000015869,21.270000000323048,1.3483089071151843e-11
209.232,robot1,-42.09500000015905,21.27000000032376,1.3483373982708065e-11
209.282,robot1,-42.0950000001594,21.27000000032447,1.348296441152574e-11
209.332,robot1,-42.09500000015976,21.27000000032518,1.3483449880215844e-11
209.382,robot1,-42.09500000016011,21.27000000032589,1.3483517961898266e-11
209.432,robot1,-42.09500000016047,21.2700000003266,1.3483240202607874e-11
209.481,robot1,-42.09500000016082,21.27000000032731,1.3483100940098173e-11
209.532,robot1,-42.09500000016118,21.27000000032802,1.3483508008506687e-11
