Time,Robot,PosX,PosY,Speed
190.564,robot1,-29.130051830471103,40.540062875662194,6.828063438269976e-11
190.664,robot1,-29.13005183047107,40.54006287566917,6.840754964716618e-11
190.764,robot1,-29.13003880914166,40.54003389631594,0.015820119542025928
190.864,robot1,-29.120238449003722,40.518213208993416,0.4233751942788611
190.964,robot1,-29.10019732351245,40.473447591898385,0.4999970235956263
191.064,robot1,-29.079766871010516,40.42781234734685,0.49999770468770816
191.164,robot1,-29.059336420889856,40.38217713413756,0.4999975921446635
191.264,robot1,-29.03890594702529,40.336541910831,0.49999806934277385
191.363,robot1,-29.018475424762855,40.29090662917968,0.4999990172342521
191.464,robot1,-28.998044841369893,40.245271255409094,0.5000002023628152
191.564,robot1,-28.977614199128457,40.19963577837968,0.5000013341071655
191.664,robot1,-28.957183514738617,40.15400021222327,0.5000021358868831
191.764,robot1,-28.93675281520008,40.108364592816834,0.5000024122783268
191.863,robot1,-28.916322131206517,40.062728969007935,0.500002095946549
191.964,robot1,-28.8958914896655,40.01709339072998,0.5000012637133104
192.064,robot1,-28.875460907143836,39.97145789684819,0.500000118230485
192.164,robot1,-28.855030385812974,39.92582250564633,0.4999989392677
192.264,robot1,-28.83459991288618,39.88018721028135,0.4999980157408734
192.364,robot1,-28.814169463714364,39.83455198038228,0.499997574621398
192.464,robot1,-28.793739007815052,39.78891676947196,0.4999977244551768
192.564,robot1,-28.773308516364352,39.74328152640794,0.49999842818280194
192.664,robot1,-28.752877969291553,39.697646207984405,0.4999995124304994
192.764,robot1,-28.73244736020536,39.65201078953593,0.5000007108379422
192.864,robot1,-28.712016697934924,39.60637527092347,0.5000017299688978
192.964,robot1,-28.69158600433069,39.56073967648569,0.500002321062822
193.064,robot1,-28.67115530889853,39.51510404904376,0.500002340109178
193.164,robot1,-28.650724641596263,39.46946843946067,0.5000017823269914
193.264,robot1,-28.630294025537946,39.42383289427173,0.500000783313286
193.364,robot1,-28.609863471356856,39.37819744433776,0.4999995865889917
193.464,robot1,-28.58943297458767,39.332562097256464,0.4999984848360867
193.564,robot1,-28.56900251672263,39.28692683542016,0.49999774837301497
193.664,robot1,-28.548572069717906,39.24129162027094,0.4999975583111315
193.764,robot1,-28.528141602870427,39.195656401762804,0.49999796132011204
193.864,robot1,-28.507711090372286,39.15002113069427,0.4999988579298368
