Time,Robot,PosX,PosY,LinX,AngZ
298.651,robot1,-27.65006620720908,39.197750306703036,-1.1662825606601461e-11,3.896991623014694e-12
298.751,robot1,-27.650066207210987,39.19775030670935,-1.1679668444977629e-11,2.7810758805573876e-12
298.851,robot1,-27.650066207212895,39.19775030671567,-1.1726317429462658e-11,3.337706785133851e-12
298.951,robot1,-27.650066207214795,39.19775030672199,-1.1519442441209245e-11,4.580022236067674e-12
299.05,robot1,-27.650066207216696,39.19775030672832,-1.1537914891158305e-11,4.870235126506533e-12
299.15,robot1,-27.650066207218593,39.19775030673465,-1.1522357648000131e-11,3.389622110089877e-12
299.251,robot1,-27.650066207220462,39.19775030674096,-1.1557334583469911e-11,6.377471107196984e-12
299.35,robot1,-27.6500662072223,39.19775030674724,-1.1484507276218864e-11,6.5905834964513055e-12
299.451,robot1,-27.650066207224114,39.197750306753505,-1.0945097257486873e-11,8.094904875159235e-12
299.551,robot1,-27.650066207225915,39.197750306759765,-1.101154307905075e-11,6.330182982622129e-12
299.651,robot1,-27.650066207227717,39.19775030676603,-1.0977580206919173e-11,7.2094338355736645e-12
299.751,robot1,-27.65006620722952,39.197750306772306,-1.1238382173284872e-11,7.519662054778678e-12
299.851,robot1,-27.650066207231323,39.19775030677859,-1.1492825638658142e-11,6.132009002227386e-12
299.951,robot1,-27.650066207233124,39.19775030678487,-1.1184117255984286e-11,5.328730660162161e-12
300.051,robot1,-27.650066207234918,39.19775030679116,-1.1556120117247295e-11,6.326575512770967e-12
300.15,robot1,-27.650066207236733,39.19775030679745,-1.1462184224107033e-11,4.219037001207948e-12
300.251,robot1,-27.650066207238567,39.19775030680373,-1.155513285027408e-11,3.4234837114261245e-12
300.352,robot1,-27.650066207240393,39.19775030680979,-1.1795559506273462e-11,7.293073577373404e-14
300.451,robot1,-27.650066207242208,39.19775030681559,-1.1344090947463834e-11,1.012312156826696e-12
300.551,robot1,-27.650066207244027,39.197750306821355,-1.1221420718520502e-11,1.8995747796506215e-12
300.651,robot1,-27.65006620724585,39.19775030682713,-1.1680832856250582e-11,1.4032399041756715e-12
300.751,robot1,-27.65006620724766,39.1977503068329,-1.1381419507703198e-11,2.0126213968620927e-12
300.851,robot1,-27.650066207249477,39.19775030683868,-1.1353081145706632e-11,1.8997740374927076e-12
300.951,robot1,-27.650066207251296,39.19775030684446,-1.1172233788087527e-11,1.7010083747128287e-13
301.051,robot1,-27.650066207253108,39.19775030685024,-1.123420505951629e-11,2.5580435221664083e-12
301.151,robot1,-27.650066207254923,39.19775030685603,-1.1710296484590464e-11,1.6058738700685674e-12
301.251,robot1,-27.65006620725674,39.19775030686181,-1.1118085169970808e-11,2.9433156518715813e-12
301.351,robot1,-27.650066207258522,39.19775030686757,-1.0593026839767441e-11,2.7247701038488346e-12
301.452,robot1,-27.650066207260267,39.1977503068733,-8.575485808202599e-12,6.082285461875789e-12
301.549,robot1,-27.650066207262025,39.197750306879044,-8.358552019916524e-12,2.957801041946228e-12
301.65,robot1,-27.650066207263794,39.19775030688479,-8.962619555121995e-12,5.387903910325597e-12
301.755,robot1,-27.65006620726557,39.19775030689054,-8.994535276240778e-12,4.612183236815341e-12
301.851,robot1,-27.650066207267347,39.197750306896296,-9.33409009429242e-12,5.021134860739709e-12
301.952,robot1,-27.650066207269123,39.19775030690205,-1.0650368553626804e-11,4.3957086303689895e-12
302.051,robot1,-27.650066207270903,39.19775030690781,-1.1232608583329297e-11,4.8616087438608816e-12
302.151,robot1,-27.65006620727269,39.197750306913555,-1.107433467461864e-11,4.0648585126958266e-12
302.251,robot1,-27.65006620727448,39.19775030691927,-1.163781970144253e-11,2.209849383682394e-12
302.351,robot1,-27.65006620727629,39.197750306924966,-1.0977472429057784e-11,2.1301615169550146e-12
302.451,robot1,-27.650066207278094,39.19775030693065,-1.150165056597353e-11,-8.649740947129294e-14
302.552,robot1,-27.65006620727988,39.19775030693635,-9.587571304940108e-12,-1.2378557441793612e-12
302.651,robot1,-27.65006620728163,39.19775030694204,-8.221903105609466e-12,-2.7949883210772937e-12
302.751,robot1,-27.650066207283373,39.19775030694779,-8.406225970618256e-12,-4.5331739810012475e-12
302.851,robot1,-27.650066207285118,39.197750306953544,-8.596187048596871e-12,-3.754847900871522e-12
302.951,robot1,-27.650066207286866,39.197750306959186,-8.341930884663905e-12,-4.0876407544207365e-12
303.051,robot1,-27.65006620728861,39.19775030696477,-8.697793240319682e-12,-6.399961706341954e-12
303.151,robot1,-27.650066207290358,39.197750306970356,-8.426257387107206e-12,-4.420000855572824e-12
303.251,robot1,-27.650066207292106,39.19775030697594,-8.140584899657187e-12,-3.948783778734462e-12
303.35,robot1,-27.65006620729385,39.197750306981526,-8.586553360290565e-12,-3.7692703332660594e-12
303.451,robot1,-27.6500662072956,39.19775030698711,-8.158005884679499e-12,-5.067486649745858e-12
303.551,robot1,-27.650066207297343,39.1977503069927,-8.670519529953664e-12,-4.106637979108152e-12
303.651,robot1,-27.65006620729909,39.19775030699828,-8.282622518646962e-12,-3.796514038556601e-12
303.751,robot1,-27.650066207300835,39.19775030700387,-8.589753111812311e-12,-3.4535528748036173e-12
303.85,robot1,-27.65006620730257,39.19775030700946,-7.930651700982253e-12,-3.3393317689250413e-12
303.951,robot1,-27.650066207304278,39.19775030701504,-8.324822724361358e-12,-3.6573253160383445e-12
304.05,robot1,-27.650066207305954,39.19775030702063,-7.758244364119781e-12,-4.053190082084442e-12
304.153,robot1,-27.650066207307603,39.19775030702621,-8.475814136398207e-12,-3.5777682985325136e-12
304.25,robot1,-27.650066207309248,39.1977503070318,-7.974664323158397e-12,-1.5000003940001439e-12
304.351,robot1,-27.65006620731089,39.19775030703739,-8.081401339052529e-12,-1.8023486876614621e-12
304.451,robot1,-27.650066207312534,39.19775030704297,-8.30257942990102e-12,-3.6626704665260464e-12
304.548,robot1,-27.650066207314172,39.19775030704855,-7.900642545301051e-12,-3.807433109121294e-12
304.65,robot1,-27.650066207315813,39.19775030705413,-8.122274601846561e-12,-2.6795645949724784e-12
304.751,robot1,-27.65006620731745,39.1977503070597,-8.039617011186463e-12,-4.22516997558079e-12
304.851,robot1,-27.65006620731911,39.197750307065164,-8.285184761908645e-12,-4.8515880383884574e-12
