Time,Robot,PosX,PosY,Speed
280.105,robot1,7.526059344089816,-41.49005761834805,1.2062594014070917e-10
280.205,robot1,7.526059344093728,-41.49005761835951,1.2163159220568354e-10
280.305,robot1,7.526059344097625,-41.490057618370884,1.1982260500225725e-10
280.405,robot1,7.526059344101516,-41.49005761838226,1.2036447846229485e-10
280.505,robot1,7.526059344105394,-41.490057618393635,1.1971733287308902e-10
280.605,robot1,7.526059344109245,-41.49005761840496,1.149107552987109e-10
280.705,robot1,7.526059344113079,-41.49005761841619,1.1439446922481255e-10
280.805,robot1,7.526059344116905,-41.490057618427414,1.1481335609453683e-10
280.905,robot1,7.526059344120722,-41.49005761843862,1.1518954261405247e-10
281.005,robot1,7.526059344124516,-41.49005761844984,1.1514018287631568e-10
281.105,robot1,7.526059344128313,-41.49005761846099,1.137461309919654e-10
281.205,robot1,7.526059344132099,-41.49005761847212,1.1494860719740179e-10
281.305,robot1,7.526059344135885,-41.49005761848326,1.1458027072795183e-10
281.405,robot1,7.526059344139664,-41.49005761849441,1.1502368600548055e-10
281.505,robot1,7.5260593441434365,-41.49005761850557,1.144351063328143e-10
281.605,robot1,7.526059344147201,-41.49005761851672,1.1384932153304081e-10
281.705,robot1,7.526059344150954,-41.49005761852778,1.1424948264803896e-10
281.805,robot1,7.526059344154693,-41.49005761853878,1.1378921512713423e-10
281.905,robot1,7.526059344158444,-41.490057618549805,1.1432244069043561e-10
282.005,robot1,7.526059344162185,-41.49005761856083,1.136440500475105e-10
282.105,robot1,7.526059344165908,-41.49005761857185,1.133867028233015e-10
282.209,robot1,7.526059344169606,-41.49005761858284,1.1289247050306814e-10
282.305,robot1,7.5260593441732855,-41.4900576185938,1.1399662406256115e-10
282.405,robot1,7.526059344176955,-41.490057618604645,1.1090994955137901e-10
282.505,robot1,7.526059344180611,-41.49005761861518,1.0697748466559914e-10
282.605,robot1,7.526059344184254,-41.49005761862571,1.0801196363461334e-10
282.705,robot1,7.526059344187902,-41.49005761863627,1.0753825438124957e-10
282.805,robot1,7.526059344191533,-41.490057618646844,1.0705852075907626e-10
282.905,robot1,7.526059344195165,-41.49005761865743,1.0722442610135387e-10
283.005,robot1,7.526059344198791,-41.49005761866797,1.0802150158709357e-10
283.105,robot1,7.526059344202406,-41.49005761867847,1.0740484816054741e-10
283.205,robot1,7.526059344206012,-41.49005761868895,1.0686450500956971e-10
283.305,robot1,7.5260593442096075,-41.49005761869945,1.0772859912445506e-10
283.405,robot1,7.526059344213191,-41.490057618709955,1.0783113273302293e-10
283.505,robot1,7.526059344216746,-41.49005761872047,1.067827736221543e-10
283.605,robot1,7.526059344220285,-41.49005761873098,1.0728133590670964e-10
283.705,robot1,7.526059344223824,-41.490057618741446,1.0680961218699534e-10
283.805,robot1,7.526059344227371,-41.49005761875183,1.0624795142233507e-10
283.905,robot1,7.526059344230899,-41.490057618762144,1.0710731197481067e-10
284.005,robot1,7.526059344234429,-41.490057618772354,1.0626583987221258e-10
284.105,robot1,7.526059344237941,-41.49005761878257,1.0570206570763503e-10
284.205,robot1,7.5260593442414345,-41.49005761879281,1.0673685375406153e-10
284.305,robot1,7.526059344244907,-41.4900576188028,1.051056500200836e-10
284.405,robot1,7.52605934424837,-41.49005761881275,1.0451477060536454e-10
284.505,robot1,7.526059344251806,-41.490057618822696,1.0556209080535022e-10
284.605,robot1,7.52605934425523,-41.49005761883266,1.0532747267394721e-10
284.705,robot1,7.526059344258652,-41.49005761884262,1.0608200429783675e-10
284.805,robot1,7.526059344262071,-41.4900576188526,1.0533633275223695e-10
284.905,robot1,7.526059344265494,-41.49005761886259,1.0572683335283005e-10
285.005,robot1,7.526059344268902,-41.49005761887258,1.0469933172909834e-10
285.105,robot1,7.526059344272282,-41.490057618882524,1.0191297319314098e-10
285.205,robot1,7.526059344275675,-41.490057618892465,1.011133448251832e-10
285.305,robot1,7.526059344279053,-41.49005761890241,1.0078425117335479e-10
285.405,robot1,7.526059344282426,-41.49005761891236,1.0104150158577193e-10
285.505,robot1,7.526059344285795,-41.49005761892231,1.0281290165820237e-10
285.605,robot1,7.526059344289147,-41.49005761893224,1.001256326155935e-10
285.705,robot1,7.526059344292509,-41.49005761894209,1.0022607464878054e-10
285.805,robot1,7.5260593442958665,-41.49005761895189,9.946607421106604e-11
285.905,robot1,7.526059344299204,-41.49005761896161,9.915558887981246e-11
286.005,robot1,7.5260593443025305,-41.490057618971306,1.0066454810727922e-10
286.104,robot1,7.526059344305849,-41.49005761898099,1.0025043676898136e-10
286.205,robot1,7.5260593443091555,-41.490057618990654,9.959941496234251e-11
286.305,robot1,7.526059344312453,-41.4900576190003,9.856317897739681e-11
286.405,robot1,7.52605934431574,-41.490057619009896,9.90966750389381e-11
286.505,robot1,7.526059344319012,-41.490057619019225,9.924523783220172e-11
286.605,robot1,7.526059344322264,-41.49005761902854,9.796256148490832e-11
286.705,robot1,7.526059344325521,-41.49005761903784,9.888123688804901e-11
286.805,robot1,7.526059344328773,-41.49005761904715,9.919486146884815e-11
286.905,robot1,7.526059344332018,-41.49005761905646,9.821879044114841e-11
287.005,robot1,7.526059344335275,-41.49005761906578,9.825977957444744e-11
287.105,robot1,7.52605934433851,-41.49005761907506,9.90357807466197e-11
287.205,robot1,7.526059344341743,-41.49005761908431,9.759658000584635e-11
287.305,robot1,7.526059344344946,-41.49005761909355,9.820628295866265e-11
287.405,robot1,7.526059344348151,-41.49005761910279,9.870678929704118e-11
287.505,robot1,7.5260593443513475,-41.49005761911205,9.845507320837694e-11
